"id";"companyName";"symbol"
100881783200940384;"The Charles Schwab Corporation";"SCHW"
100881783200940385;"Cardinal Health, Inc.";"CAH"
100881783200940386;"Adobe Inc.";"ADBE"
100881783200940387;"AutoZone, Inc.";"AZO"
100881783200940388;"Aon plc";"AON"
100881783200940389;"Fifth Third Bancorp";"FITB"
100881783200940390;"Comerica Incorporated";"CMA"
100881783200940391;"The Allstate Corporation";"ALL"
100881783200940392;"Darden Restaurants, Inc.";"DRI"
100881783200940393;"Loews Corporation";"L"
100881783200940394;"The Bank of New York Mellon Corporation";"BK"
100881783200940395;"Applied Materials, Inc.";"AMAT"
100881783200940396;"Corning Incorporated";"GLW"
100881783200940397;"Boston Scientific Corporation";"BSX"
100881783200940398;"Paramount Global";"PARA"
100881783200940399;"Micron Technology, Inc.";"MU"
100881783200940400;"Southwest Airlines Co.";"LUV"
100881783200940401;"UnitedHealth Group Incorporated";"UNH"
100881783200940402;"Microsoft Corporation";"MSFT"
100881783200940403;"KeyCorp";"KEY"
100881783200940404;"Eastman Chemical Company";"EMN"
100881783200940405;"Cisco Systems, Inc.";"CSCO"
100881783200940406;"Costco Wholesale Corporation";"COST"
100881783200940407;"Morgan Stanley";"MS"
100881783200940408;"The Interpublic Group of Companies, Inc.";"IPG"
100881783200940409;"Linde plc";"LIN"
100881783200940410;"Amgen Inc.";"AMGN"
100881783200940411;"Ameren Corporation";"AEE"
100881783200940412;"Autodesk, Inc.";"ADSK"
100881783200940413;"Kellogg Company";"K"
100881783200940414;"Oracle Corporation";"ORCL"
100881783200940415;"Globe Life Inc.";"GL"
100881783200940416;"Ecolab Inc.";"ECL"
100881783200940417;"NIKE, Inc.";"NKE"
100881783200940418;"Citigroup Inc.";"C"
100881783200940419;"The PNC Financial Services Group, Inc.";"PNC"
100881783200940420;"The Home Depot, Inc.";"HD"
100881783200940421;"Avery Dennison Corporation";"AVY"
100881783200940422;"Marsh & McLennan Companies, Inc.";"MMC"
100881783200940423;"Sysco Corporation";"SYY"
100881783200940424;"Medtronic plc";"MDT"
100881783200940425;"Illinois Tool Works Inc.";"ITW"
100881783200940426;"Parker-Hannifin Corporation";"PH"
100881783200940427;"Dover Corporation";"DOV"
100881783200940428;"The TJX Companies, Inc.";"TJX"
100881783200940429;"CenterPoint Energy, Inc.";"CNP"
100881783200940430;"Revvity, Inc.";"RVTY"
100881783200940431;"Air Products and Chemicals, Inc.";"APD"
100881783200940432;"Nucor Corporation";"NUE"
100881783200940433;"Ball Corporation";"BALL"
100881783200940434;"Hasbro, Inc.";"HAS"
100881783200940435;"Hess Corporation";"HES"
100881783200940436;"PulteGroup, Inc.";"PHM"
100881783200940437;"Lowe's Companies, Inc.";"LOW"
100881783200940438;"AT&T Inc.";"T"
100881783200940439;"Verizon Communications Inc.";"VZ"
100881783200940440;"Bath & Body Works, Inc.";"BBWI"
100881783200940441;"Conagra Brands, Inc.";"CAG"
100881783200940442;"Apple Inc.";"AAPL"
100881783200940443;"Brown-Forman Corporation";"BF-B"
100881783200940444;"Snap-on Incorporated";"SNA"
100881783200940445;"Stanley Black & Decker, Inc.";"SWK"
100881783200940446;"Walmart Inc.";"WMT"
100881783200940447;"W.W. Grainger, Inc.";"GWW"
100881783200940448;"Masco Corporation";"MAS"
100881783200940449;"Automatic Data Processing, Inc.";"ADP"
100881783200940450;"FedEx Corporation";"FDX"
100881783200940451;"PACCAR Inc";"PCAR"
100881783200940452;"American International Group, Inc.";"AIG"
100881783200940453;"Walgreens Boots Alliance, Inc.";"WBA"
100881783200940454;"Weyerhaeuser Company";"WY"
100881783200940455;"Textron Inc.";"TXT"
100881783200940456;"Intel Corporation";"INTC"
100881783200940457;"Target Corporation";"TGT"
100881783200940458;"American Express Company";"AXP"
100881783200940459;"Bank of America Corporation";"BAC"
100881783200940460;"Cigna Corporation";"CI"
100881783200940461;"The Walt Disney Company";"DIS"
100881783200940462;"Duke Energy Corporation";"DUK"
100881783200940463;"NextEra Energy, Inc.";"NEE"
100881783200940464;"Molson Coors Beverage Company";"TAP"
100881783200940465;"Wells Fargo & Company";"WFC"
100881783200940466;"International Flavors & Fragrances Inc.";"IFF"
100881783200940467;"JPMorgan Chase & Co.";"JPM"
100881783200940468;"The Williams Companies, Inc.";"WMB"
100881783200940469;"HP Inc.";"HPQ"
100881783200940470;"Genuine Parts Company";"GPC"
100881783200940471;"Johnson & Johnson";"JNJ"
100881783200940472;"Baxter International Inc.";"BAX"
100881783200940473;"Becton, Dickinson and Company";"BDX"
100881783200940474;"Eli Lilly and Company";"LLY"
100881783200940475;"McDonald's Corporation";"MCD"
100881783200940476;"Newmont Corporation";"NEM"
100881783200940477;"The Clorox Company";"CLX"
100881783200940478;"Cummins Inc.";"CMI"
100881783200940479;"Emerson Electric Co.";"EMR"
100881783200940480;"The Sherwin-Williams Company";"SHW"
100881783200940481;"Abbott Laboratories";"ABT"
100881783200940482;"Archer-Daniels-Midland Company";"ADM"
100881783200940483;"American Electric Power Company, Inc.";"AEP"
100881783200940484;"The Boeing Company";"BA"
100881783200940485;"Bristol-Myers Squibb Company";"BMY"
100881783200940486;"Caterpillar Inc.";"CAT"
100881783200940487;"Colgate-Palmolive Company";"CL"
100881783200940488;"CMS Energy Corporation";"CMS"
100881783200940489;"ConocoPhillips";"COP"
100881783200940490;"Campbell Soup Company";"CPB"
100881783200940491;"CSX Corporation";"CSX"
100881783200940492;"CVS Health Corporation";"CVS"
100881783200940493;"Chevron Corporation";"CVX"
100881783200940494;"Deere & Company";"DE"
100881783200940495;"DTE Energy Company";"DTE"
100881783200940496;"Consolidated Edison, Inc.";"ED"
100881783200940497;"Edison International";"EIX"
100881783200940498;"Eaton Corporation plc";"ETN"
100881783200940499;"Entergy Corporation";"ETR"
100881783200940500;"Exelon Corporation";"EXC"
100881783200940501;"Ford Motor Company";"F"
100881783200940502;"General Dynamics Corporation";"GD"
100881783200940503;"General Electric Company";"GE"
100881783200940504;"General Mills, Inc.";"GIS"
100881783200940505;"Halliburton Company";"HAL"
100881783200940506;"The Hartford Financial Services Group, Inc.";"HIG"
100881783200940507;"Honeywell International Inc.";"HON"
100881783200940508;"The Hershey Company";"HSY"
100881783200940509;"International Business Machines Corporation";"IBM"
100881783200940510;"International Paper Company";"IP"
100881783200940511;"Kimberly-Clark Corporation";"KMB"
100881783200940512;"The Coca-Cola Company";"KO"
100881783200940513;"The Kroger Co.";"KR"
100881783200940514;"Lockheed Martin Corporation";"LMT"
100881783200940515;"3M Company";"MMM"
100881783200940516;"Altria Group, Inc.";"MO"
100881783200940517;"Merck & Co., Inc.";"MRK"
100881783200940518;"Marathon Oil Corporation";"MRO"
100881783200940519;"Motorola Solutions, Inc.";"MSI"
100881783200940520;"Northrop Grumman Corporation";"NOC"
100881783200940521;"Norfolk Southern Corporation";"NSC"
100881783200940522;"Occidental Petroleum Corporation";"OXY"
100881783200940523;"Public Service Enterprise Group Incorporated";"PEG"
100881783200940524;"PepsiCo, Inc.";"PEP"
100881783200940525;"Pfizer Inc.";"PFE"
100881783200940526;"The Procter & Gamble Company";"PG"
100881783200940527;"PPG Industries, Inc.";"PPG"
100881783200940528;"Raytheon Technologies Corporation";"RTX"
100881783200940529;"Schlumberger Limited";"SLB"
100881783200940530;"The Southern Company";"SO"
100881783200940531;"S&P Global Inc.";"SPGI"
100881783200940532;"Union Pacific Corporation";"UNP"
100881783200940533;"Xcel Energy Inc.";"XEL"
100881783200940534;"Exxon Mobil Corporation";"XOM"
100897263638806528;"CrowdStrike";"CRWD"
100897263638806529;"GoDaddy";"GDDY"
100897263638806530;"KKR";"KKR"
100897263638806531;"Smurfit WestRock PLC";"SW"
100897263638806532;"Berkshire Hathaway";"BRK.B"
100897263638806533;"Brown–Forman";"BF.B"
100897263638806534;"Dell Technologies";"DELL"
100897263638806535;"Erie Indemnity";"ERIE"
100897263638806536;"Palantir Technologies";"PLTR"
101065667242885120;"Amentum";"AMTM"
